"taxon","assembly","segment","species","collectionDate","geographicRegion","organismName_host","subtype","genotype","serotype","lineage","clade","HA_type","NA_type","neighbor","neighbor_ani","n_raw","n_qc"
"Alphacoronavirus","references/Alphacoronavirus-wg-9.fa.gz","wg","Human coronavirus NL63","1983 - 2023","[North America; Asia; Africa; Europe]","Homo sapiens","","","","","","","","","0","143","142"
"Alphacoronavirus","references/Alphacoronavirus-wg-196.fa.gz","wg","Wenzhou Suncus murinus alphacoronavirus 1","2016","Asia","Suncus murinus","","","","","","","","Alphacoronavirus-wg-54","90","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-5.fa.gz","wg","Human coronavirus 229E","1993 - 2023","[North America; Asia; Europe; Africa]","Homo sapiens","","","","","","","","Alphacoronavirus-wg-1","94","118","117"
"Alphacoronavirus","references/Alphacoronavirus-wg-8.fa.gz","wg","Alphacoronavirus 1","1952 - 2021","[Asia; North America]","Sus scrofa","","","","","","","","Alphacoronavirus-wg-140","97","27","26"
"Alphacoronavirus","references/Alphacoronavirus-wg-1.fa.gz","wg","Human coronavirus 229E","2008 - 2015","[Asia; Africa; North America]","[Camelus dromedarius; Camelus; Vicugna pacos]","","","","","","","","Alphacoronavirus-wg-5","94","34","33"
"Alphacoronavirus","references/Alphacoronavirus-wg-11.fa.gz","wg","Alphacoronavirus sp.","2014 - 2015","Asia","Scotophilus kuhlii","","","","","","","","Alphacoronavirus-wg-60","98","17","17"
"Alphacoronavirus","references/Alphacoronavirus-wg-172.fa.gz","wg","Jingmen Apodemus agrarius alphacoronavirus 1","2016","Asia","Apodemus agrarius","","","","","","","","Alphacoronavirus-wg-144","95","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-110.fa.gz","wg","Alphacoronavirus sp.","2018","Oceania","","","","","","","","","Alphacoronavirus-wg-185","96","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-14.fa.gz","wg","Alphacoronavirus 1","2017 - 2018","Oceania","Felis catus","","","","","","","","Alphacoronavirus-wg-25","97","4","4"
"Alphacoronavirus","references/Alphacoronavirus-wg-114.fa.gz","wg","Alphacoronavirus 1","2016","Asia","Felis catus","","","","","","","","Alphacoronavirus-wg-135","97","3","3"
"Alphacoronavirus","references/Alphacoronavirus-wg-26.fa.gz","wg","Bat coronavirus HKU10","2005 - 2022","Asia","[Hipposideros pomona; Chiroptera; Rhinolophus pusillus]","","","","","","","","Alphacoronavirus-wg-21","98","7","6"
"Alphacoronavirus","references/Alphacoronavirus-wg-115.fa.gz","wg","BtRf-AlphaCoV/YN2012","2012","Asia","Rhinolophus ferrumequinum","","","","","","","","Alphacoronavirus-wg-109","97","2","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-197.fa.gz","wg","Miniopterus pusillus bat coronavirus HKU8-related","2018","Asia","Miniopterus pusillus","","","","","","","","Alphacoronavirus-wg-55","96","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-198.fa.gz","wg","Alphacoronavirus sp.","2020","Asia","Myotis petax","","","","","","","","Alphacoronavirus-wg-118","90","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-117.fa.gz","wg","Alphacoronavirus sp.","2020","Asia","Myotis laniger","","","","","","","","Alphacoronavirus-wg-119","93","1","1"
"Alphacoronavirus","references/Alphacoronavirus-wg-118.fa.gz","wg","Jingmen Miniopterus schreibersii alphacoronavirus 1","2016","Asia","Miniopterus schreibersii","","","","","","","","Alphacoronavirus-wg-198","90","1","1"
